"Tunoa Lui
"Tala Luvu
"Soga Maina
"Samuelu Malo
"Silao Malo
"Tor-Lawrence Manao
"Justin Manao
"Iosefa Maposua
"Richard Mariko
"Ryan Martin
"Rawlston Masaniai
"Faalavelave Matagi
"Junior Michael
"Ryan Aloali'i Mitchell
"Andrew Mobberley
"Sam Mulipola
"Natia Natia
"Mariah Nogueira-Bullock
"Diamond Ott
"Ramin Ott
"Jordan Penitusi
"Jasmine Pereira
"Henry Pupi
"Raphael Rocha
"Jaiyah Saelua
"Nicky Salapu
"Jarrell Sale
"Ryan Samuelu
"Mike Saofaiga
"Alex Savea
"Tiaoali Savea
"Paulo Scanlan
"Pasi Schwalger
"Andrew Setefano
"Jason Si'i
"Ted Sikovi
"Marshall Silao
"Kaleopa Siligi
"Terrence Sinapati
"Travis Pita Sinapati
"T. Tapunuu
"Ieti Taulealo
